"","X","pais","lib.democracy","va","rl","pp.urbana","PS.legitimacy","F.economy","cc","rq","expec","mort.intantil","sec.erollment","cres.PIB","desemprego","inequality.index","eff.DEA","catg_democracy","eff.ajust","bias"
"72",72,"Mexico",0.299,-0.12,-0.81,81.582,6.3,4.5,-1.02,-0.17,75.069,1.2423999,98.35766,1.00023038070651,2.812,59.63,1,1,0.833568750159777,0.166431249840223
"73",73,"Moldova",0.608,0.24,-0.15,43.373,4.6,6.4,-0.28,0.11,71.1985,1.3894,96.78415,1.00036893669582,1.623,34.14,0.78519230603121,3,0.759163600994067,0.0260287050371437
"74",74,"Mongolia",0.405,0.25,-0.18,69.089,4.8,5.1,-0.49,-0.18,71.7341,1.2783,97.63,1.00059595128798,6.134,42.399998,0.803912206858502,2,0.762166214180034,0.0417459926784681
"75",75,"Montenegro",0.467,0.34,-0.04,68.502,3.8,5.8,-0.08,0.37,77.0869,0.33359998,91.26075,1.0006516484862,15.254,35.94,0.80121368282985,2,0.739641135640631,0.061572547189219
"76",76,"Morocco",0.249,-0.49,-0.13,65.121,5.1,5.7,-0.54,-0.06,75.3128,1.6945,86.2332,1.00023382314049,9.114,47.600002,0.769466810661941,1,0.725573005196389,0.0438938054655523
"77",77,"Mozambique",0.221,-0.59,-1.03,38.753,9.7,7.7,-0.83,-0.71,63.6111,6.4331,37.892,1.00023682391119,3.535,59.45,1,1,0.830884614677932,0.169115385322068
"78",78,"Myanmar",0.016,-1.84,-1.62,32.112,9.1,7.6,-1.22,-1.44,66.889,3.9347,75.64698,1.00002553272266,2.841,42.76,0.91082553165957,0,0.817589014023954,0.0932365176356158
"79",79,"Nepal",0.523,-0.02,-0.46,21.903,7.1,5.1,-0.51,-0.66,70.3537,2.6245,89.551,1.00020240408508,10.685,40.96,0.827614183618292,3,0.771393265429846,0.0562209181884457
"80",80,"Netherlands",0.8,1.56,1.64,93.179,1,1.6,1.87,1.79,82.1576,0.3909,115.11607,0.999908857591022,3.561,28.54,0.665678420772922,4,0.649819292741535,0.0158591280313866
"81",81,"New Zealand",0.831,1.69,1.71,86.985,1.1,2.6,2.08,1.91,82.088,0.5414,117.59543,0.999869090654757,3.737,34.88,0.667247673581762,4,0.650732731487122,0.0165149420946407
"82",82,"Nigeria",0.327,-0.55,-0.89,54.283,8.8,8.8,-1.04,-0.94,54.4623,10.4174,47.23723,1.00007242934234,3.074,42.11,1,2,0.931589321264801,0.0684106787351993
"83",83,"Norway",0.836,1.78,1.83,83.995,1,1.4,2.11,1.6,83.3078,0.23599999,119.81687,0.999934249201781,3.581,31.099998,0.656600159731344,4,0.64074045394958,0.0158597057817637
"84",84,"Oman",0.137,-1,0.61,88.4,3.1,4.4,0.22,0.43,80.0305,1.0376999,91.97601,0.999490904089081,1.46,55.92,0.761030440751962,1,0.720914875314066,0.0401155654378966
"85",85,"Pakistan",0.212,-0.96,-0.86,38.04,7.5,6.7,-1,-0.9,67.649,5.9234,41.855,0.999842404519666,5.499,43.89,0.838988511861989,1,0.760287800915972,0.0787007109460169
"86",86,"Panama",0.571,0.55,-0.35,69.512,4.9,3.5,-0.63,0.12,79.5937,1.6121,82.873,1.0006002571521,6.701,51.81,0.763323258267942,3,0.704922465396784,0.0584007928711578
"87",87,"Papua New Guinea",0.383,0.01,-0.54,13.723,9.4,6.8,-0.66,-0.64,66.134,3.9780998,44.41078,1.00011864861347,2.651,45.84,0.845555692397696,2,0.793119018195757,0.0524366742019392
"88",88,"Paraguay",0.426,0.04,-0.58,63.149,5.7,4.9,-1.06,-0.08,73.8443,1.684,75.721,1.0003433808426,5.779,51.81,0.851734857478667,2,0.760868444660629,0.0908664128180374
"89",89,"Peru",0.576,0.06,-0.54,78.922,7.2,4.6,-0.72,0.29,77.7401,1.4755,102.292,0.999836210617015,4.82,57.95,0.805984159711513,3,0.719879334742805,0.0861048249687075
"90",90,"Philippines",0.287,-0.02,-0.42,48.287,6.5,4.4,-0.54,0.16,69.8327,2.7714,93.665,1.00046943800285,2.233,45.120003,0.81550574598828,1,0.782140352543401,0.0333653934448787
"91",91,"Poland",0.444,0.63,0.46,60.218,3,3.6,0.57,0.78,78.6329,0.3703,103.67632,1.00005056738046,2.905,38.420002,0.692614668923568,2,0.66891962540816,0.023695043515408
"92",92,"Portugal",0.751,1.21,1.07,67.906,2.7,3.9,0.7,0.76,82.3599,0.3206,118.32466,1.00011321211802,6.491,35.06,0.681542480460573,4,0.664871090992906,0.0166713894676663
"93",93,"Qatar",0.085,-0.97,0.93,99.354,2.3,1.1,0.7,0.98,82.368,0.4969,107.66615,1.00012367290219,0.13,56.29,0.747100560901927,0,0.713342610205844,0.0337579506960832
"94",94,"Romania",0.501,0.5,0.44,54.672,5,4,0.04,0.32,75.9381,0.5905,86.19709,1.00023452994258,5.595,41.16,0.73910940470235,3,0.715975419135547,0.0231339855668038
"95",95,"Rwanda",0.096,-0.9,0.21,17.892,6.7,6.4,0.67,0.12,67.7852,3.6787999,41.87848,1.00058875711319,14.932,53.359997,1,0,0.854837681866858,0.145162318133142
"96",96,"Saudi Arabia",0.046,-1.42,0.41,84.95,3.8,3.6,0.54,0.52,78.7321,0.62,119.96837,0.99959958174837,4.88,54.7,0.764665374526117,0,0.732465951861064,0.0321994226650523
"97",97,"Senegal",0.459,0.13,-0.27,49.579,7.9,7.5,0.06,-0.35,68.6829,3.5561001,46.95069,1.00021168081936,2.93,45.030003,0.814974737055747,2,0.766369670767091,0.0486050662886565
